Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude,State
King Soopers,Q00744,Arvada,"Arvada, CO","6350 Sheridan Boulevard, Arvada, CO",39.8110721,-105.0515405,CO
King Soopers,Q00746,Arvada,"Arvada, CO","9731 W 58th Ave, Arvada, CO",39.8031326,-105.1067098,CO
King Soopers,Q00752,Arvada,"Arvada, CO","8055 Sheridan Boulevard, Arvada, CO",39.8435809,-105.0568427,CO
King Soopers,Q00107,Aurora,"Aurora, CO","3050 S Peoria St, Aurora, CO",39.6611526,-104.8470742,CO
King Soopers,Q00273,Aurora,"Aurora, CO","15250 E Mississippi Ave, Aurora, CO",39.6951005,-104.8109431,CO
King Soopers,Q00284,Aurora,"Aurora, CO","655 Peoria St, Aurora, CO",39.7264905,-104.849588,CO
King Soopers,Q00433,Aurora,"Aurora, CO","25701 E Smoky Hill Rd, Aurora, CO",39.5875966,-104.6871269,CO
Safeway,Q00621,Aurora,"Aurora, CO","1677 S Havana St, Aurora, CO",39.6863266,-104.8682472,CO
Safeway,Q00636,Aurora,"Aurora, CO","12200 E Mississippi Ave, Aurora, CO",39.6960815,-104.8452795,CO
Safeway,Q00660,Aurora,"Aurora, CO","6100 S Gun Club Rd, Aurora, CO",39.604759,-104.7148374,CO
Safeway,Q00663,Aurora,"Aurora, CO","18730 E Hampden Ave, Aurora, CO",39.6513006,-104.7697785,CO
Safeway,Q00689,Aurora,"Aurora, CO","1200 S Buckley Rd, Aurora, CO",39.69455490000001,-104.7892651,CO
King Soopers,Q00735,Aurora,"Aurora, CO","18211 E Hampden Ave, Aurora, CO",39.6549169,-104.7759777,CO
King Soopers,Q00737,Aurora,"Aurora, CO","17000 E Iliff Ave, Aurora, CO",39.6717413,-104.7898356,CO
King Soopers,Q00738,Aurora,"Aurora, CO","4271 S Buckley Rd, Aurora, CO",39.6393879,-104.7934826,CO
King Soopers,Q00743,Aurora,"Aurora, CO","1155 S Havana St, Aurora, CO",39.6958005,-104.8664865,CO
King Soopers,Q01146,Aurora,"Aurora, CO","6412 S Parker Rd, Aurora, CO",39.6002506,-104.8029355,CO
Safeway,Q00435,Boulder,"Boulder, CO","3325 28th St, Boulder, CO",40.0353313,-105.2602617,CO
King Soopers,Q00629,Boulder,"Boulder, CO","1650 30th St, Boulder, CO",40.0158034,-105.2517897,CO
Safeway,Q00665,Boulder,"Boulder, CO","4800 E Baseline Rd, Boulder, CO",40.0002705,-105.0468476,CO
Safeway,Q01180,Boulder,"Boulder, CO","2798 Arapahoe Ave, Boulder, CO",40.0133197,-105.2596624,CO
King Soopers,Q00114,Brighton,"Brighton, CO","100 N 50th Ave, Brighton, CO",39.9888822,-104.7497281,CO
King Soopers,Q00275,Broomfield,"Broomfield, CO","1150 US-287, Broomfield, CO",39.9332002,-105.0880744,CO
King Soopers,Q00724,Broomfield,"Broomfield, CO","12167 Sheridan Boulevard, Broomfield, CO",39.9170996,-105.0555588,CO
King Soopers,Q00753,Broomfield,"Broomfield, CO","2355 W 136th Ave, Broomfield, CO",39.9440792,-105.0130556,CO
Safeway,Q01147,Broomfield,"Broomfield, CO","3602 W 144th Ave, Broomfield, CO",39.9564919,-105.0354682,CO
King Soopers,Q00283,Castle Rock,"Castle Rock, CO","750 N Ridge Rd, Castle Rock, CO",39.3746415,-104.8273095,CO
King Soopers,Q00745,Castle Rock,"Castle Rock, CO","7284 Lagae Rd, Castle Rock, CO",39.4685495,-104.879577,CO
Safeway,Q01096,Castle Rock,"Castle Rock, CO","880 S Perry St, Castle Rock, CO",39.3619974,-104.8609679,CO
King Soopers,Q00272,Centennial,"Centennial, CO","8200 S Holly St, Centennial, CO",39.5675234,-104.9208168,CO
King Soopers,Q00280,Centennial,"Centennial, CO","5050 E Arapahoe Rd, Centennial, CO",39.5943625,-104.9287557,CO
King Soopers,Q00285,Centennial,"Centennial, CO","7575 S University Blvd, Centennial, CO",39.5785509,-104.9614283,CO
Safeway,Q01150,Centennial,"Centennial, CO","7375 E Arapahoe Rd, Centennial, CO",39.5963715,-104.9034805,CO
King Soopers,Q00362,Colorado Springs,"Colorado Springs, CO","6930 N Academy Blvd, Colorado Springs, CO",38.9310157,-104.7968969,CO
Safeway,Q01110,Colorado Springs,"Colorado Springs, CO","3275 W Colorado Ave, Colorado Springs, CO",38.8547268,-104.8770364,CO
Safeway,Q01157,Colorado Springs,"Colorado Springs, CO","7055 Austin Bluffs Pkwy, Colorado Springs, CO",38.9324155,-104.7390632,CO
Safeway,Q01161,Colorado Springs,"Colorado Springs, CO","1920 S Nevada Ave, Colorado Springs, CO",38.8062344,-104.8234084,CO
Safeway,Q01163,Colorado Springs,"Colorado Springs, CO","5060 N Academy Blvd, Colorado Springs, CO",38.903489,-104.7773452,CO
Safeway,Q01165,Colorado Springs,"Colorado Springs, CO","2210 N Wahsatch Ave, Colorado Springs, CO",38.8646262,-104.8172815,CO
Safeway,Q01178,Colorado Springs,"Colorado Springs, CO","6520 S Academy Blvd, Colorado Springs, CO",38.7674556,-104.8150018,CO
Safeway,Q01179,Colorado Springs,"Colorado Springs, CO","2890 N Powers Blvd, Colorado Springs, CO",38.8737349,-104.7223811,CO
Safeway,Q01269,Colorado Springs,"Colorado Springs, CO","1121 N Circle Dr, Colorado Springs, CO",38.8484373,-104.7723255,CO
Safeway,Q01313,Colorado Springs,"Colorado Springs, CO","840 Village Center Dr, Colorado Springs, CO",38.9238733,-104.8444735,CO
Safeway,Q01476,Colorado Springs,"Colorado Springs, CO","1425 S Murray Blvd, Colorado Springs, CO",38.8124465,-104.7464426,CO
King Soopers,Q01506,Colorado Springs,"Colorado Springs, CO","3620 Austin Bluffs Pkwy, Colorado Springs, CO",38.8920941,-104.7610271,CO
King Soopers,Q00426,Commerce City,"Commerce City, CO","4850 E 62nd Ave, Commerce City, CO",39.808747,-104.9301075,CO
King Soopers,Q00437,Commerce City,"Commerce City, CO","15051 E 104th Ave, Commerce City, CO",39.8874933,-104.8109439,CO
King Soopers,Q00100,Denver,"Denver, CO","3100 S Sheridan Blvd, Denver, CO",39.6547399,-105.0514138,CO
King Soopers,Q00268,Denver,"Denver, CO","5125 W Florida Ave, Denver, CO",39.6907321,-105.0521388,CO
King Soopers,Q00287,Denver,"Denver, CO","825 S Colorado Blvd, Denver, CO",39.7017587,-104.9411669,CO
King Soopers,Q00398,Denver,"Denver, CO","2727 W Evans Ave, Denver, CO",39.6800873,-105.0213464,CO
King Soopers,Q00430,Denver,"Denver, CO","890 S Monaco St Pkwy, Denver, CO",39.7010176,-104.911327,CO
King Soopers,Q00439,Denver,"Denver, CO","2750 S Colorado Blvd, Denver, CO",39.666764,-104.9368776,CO
King Soopers,Q00442,Denver,"Denver, CO","1355 Krameria St, Denver, CO",39.7377231,-104.9162638,CO
King Soopers,Q00443,Denver,"Denver, CO","10406 E M.L.K. Jr Blvd, Denver, CO",39.75984,-104.8887361,CO
Safeway,Q00622,Denver,"Denver, CO","1653 S Colorado Blvd, Denver, CO",39.6867716,-104.9424446,CO
Safeway,Q00635,Denver,"Denver, CO","2150 S Downing St, Denver, CO",39.6776747,-104.9728461,CO
Safeway,Q00641,Denver,"Denver, CO","200 Quebec St, Denver, CO",39.7202905,-104.9008767,CO
Safeway,Q00649,Denver,"Denver, CO","6460 E Yale Ave, Denver, CO",39.6674191,-104.9156606,CO
Safeway,Q00650,Denver,"Denver, CO","6220 E 14th Ave, Denver, CO",39.737212,-104.9156076,CO
Safeway,Q00652,Denver,"Denver, CO","2660 N Federal Blvd, Denver, CO",39.7556009,-105.0246933,CO
Safeway,Q00653,Denver,"Denver, CO","3800 W 44th Ave, Denver, CO",39.7762025,-105.0369768,CO
Safeway,Q00667,Denver,"Denver, CO","757 E 20th Ave, Denver, CO",39.7477101,-104.977904,CO
King Soopers,Q00749,Denver,"Denver, CO","1331 Speer Blvd, Denver, CO",39.73730219999999,-104.9978168,CO
Safeway,Q00780,Denver,"Denver, CO","323 S Broadway, Denver, CO",39.7106302,-104.9888127,CO
King Soopers,Q00282,Edgewater,"Edgewater, CO","1725 Sheridan Boulevard, Edgewater, CO",39.7444893,-105.0560611,CO
Safeway,Q01166,Elizabeth,"Elizabeth, CO","220 S Elizabeth St, Elizabeth, CO",39.359958,-104.6100129,CO
King Soopers,Q00432,Englewood,"Englewood, CO","101 Englewood Pkwy, Englewood, CO",39.65575920000001,-104.9894517,CO
King Soopers,Q00754,Englewood,"Englewood, CO","3495 S University Blvd, Englewood, CO",39.6537035,-104.9606361,CO
Safeway,Q00277,Evergreen,"Evergreen, CO","3851 S Hwy 74, Evergreen, CO",39.6333213,-105.3172146,CO
Safeway,Q01172,Falcon,"Falcon, CO","7655 McLaughlin Rd, Falcon, CO",38.94151360000001,-104.6014928,CO
King Soopers,Q00270,Federal Heights,"Federal Heights, CO","1575 W 84th Ave, Federal Heights, CO",39.8503795,-105.0046816,CO
Safeway,Q01098,Firestone,"Firestone, CO","8134 Colorado Blvd, Firestone, CO",40.1191182,-104.9398707,CO
King Soopers,Q00627,Fort Collins,"Fort Collins, CO","2535 S College Ave, Fort Collins, CO",40.554117,-105.0789845,CO
Safeway,Q01104,Fort Collins,"Fort Collins, CO","2160 W Drake Rd, Fort Collins, CO",40.5546594,-105.1165765,CO
Safeway,Q01107,Fort Collins,"Fort Collins, CO","3657 S College Ave, Fort Collins, CO",40.5369231,-105.077736,CO
Safeway,Q01100,Fort Lupton,"Fort Lupton, CO","1300 Dexter St, Fort Lupton, CO",40.0789504,-104.8026005,CO
Safeway,Q01477,Fountain,"Fountain, CO","6925 Mesa Ridge Pkwy, Fountain, CO",38.7163261,-104.6989612,CO
King Soopers,Q00446,Glendale,"Glendale, CO","4600 Leetsdale Dr, Glendale, CO",39.7084673,-104.9326797,CO
King Soopers,Q00755,Golden,"Golden, CO","17171 S Golden Rd, Golden, CO",39.7394054,-105.1929718,CO
Safeway,Q01326,Golden,"Golden, CO","1701 Jackson St, Golden, CO",39.75220729999999,-105.2155499,CO
King Soopers,Q00648,Greeley,"Greeley, CO","2100 35th Ave, Greeley, CO",40.4047742,-104.7330443,CO
Safeway,Q01079,Greeley,"Greeley, CO","4548 Centerplace Dr, Greeley, CO",40.3943255,-104.7527285,CO
Safeway,Q01092,Greeley,"Greeley, CO","3526 W 10th St, Greeley, CO",40.4216752,-104.7364544,CO
King Soopers,Q00445,Greenwood Village,"Greenwood Village, CO","4910 S Yosemite St, Greenwood Village, CO",39.6267802,-104.8837399,CO
King Soopers,Q00742,Greenwood Village,"Greenwood Village, CO","6000 S Holly St, Greenwood Village, CO",39.607639,-104.9208168,CO
King Soopers,Q00108,Highlands Ranch,"Highlands Ranch, CO","2205 W Wildcat Reserve Pkwy, Highlands Ranch, CO",39.5364574,-105.0136452,CO
King Soopers,Q00274,Highlands Ranch,"Highlands Ranch, CO","8673 S Quebec St, Highlands Ranch, CO",39.5588137,-104.9076773,CO
King Soopers,Q00431,Highlands Ranch,"Highlands Ranch, CO","4000 Red Cedar Dr, Highlands Ranch, CO",39.5251656,-104.940163,CO
King Soopers,Q00449,Highlands Ranch,"Highlands Ranch, CO","9551 S University Blvd, Highlands Ranch, CO",39.5422515,-104.9442698,CO
Safeway,Q01191,Highlands Ranch,"Highlands Ranch, CO","9255 S Broadway, Highlands Ranch, CO",39.5477859,-104.9941988,CO
King Soopers,Q00436,Lafayette,"Lafayette, CO","2900 Arapahoe Rd, Lafayette, CO",40.0121893,-105.100416,CO
King Soopers,Q00110,Lakewood,"Lakewood, CO","7984 W Alameda Ave, Lakewood, CO",39.7096917,-105.0853178,CO
King Soopers,Q00266,Lakewood,"Lakewood, CO","1927 S Wadsworth Blvd, Lakewood, CO",39.6813014,-105.0832331,CO
King Soopers,Q00278,Lakewood,"Lakewood, CO","1555 Quail St, Lakewood, CO",39.7421148,-105.1253473,CO
King Soopers,Q00429,Lakewood,"Lakewood, CO","12043 W Alameda Pkwy, Lakewood, CO",39.7086331,-105.1373167,CO
Safeway,Q00471,Lakewood,"Lakewood, CO","11088 W Jewell Ave, Lakewood, CO",39.6814028,-105.1223343,CO
King Soopers,Q00748,Lakewood,"Lakewood, CO","1545 S Kipling Pkwy, Lakewood, CO",39.6900838,-105.1178784,CO
Safeway,Q01173,Lakewood,"Lakewood, CO","13111 W Alameda Pkwy, Lakewood, CO",39.69844459999999,-105.1458145,CO
King Soopers,Q00101,Littleton,"Littleton, CO","11747 W Ken Caryl Ave, Littleton, CO",39.5821623,-105.1308294,CO
King Soopers,Q00102,Littleton,"Littleton, CO","8126 S Wadsworth Blvd, Littleton, CO",39.5684929,-105.0814977,CO
King Soopers,Q00279,Littleton,"Littleton, CO","100 W Littleton Blvd, Littleton, CO",39.6121624,-104.9898169,CO
King Soopers,Q00286,Littleton,"Littleton, CO","6760 S Pierce St, Littleton, CO",39.5934982,-105.0720898,CO
King Soopers,Q00447,Littleton,"Littleton, CO","7901 S Broadway, Littleton, CO",39.5725436,-104.9909131,CO
Safeway,Q01081,Littleton,"Littleton, CO","181 W Mineral Ave, Littleton, CO",39.5746127,-104.9920079,CO
Safeway,Q01174,Littleton,"Littleton, CO","8434 S Kipling Pkwy, Littleton, CO",39.563478,-105.1074406,CO
Safeway,Q01142,Lone Tree,"Lone Tree, CO","9229 Lincoln Ave, Lone Tree, CO",39.5379407,-104.8834126,CO
Safeway,Q00448,Longmont,"Longmont, CO","1050 Ken Pratt Blvd, Longmont, CO",40.1529514,-105.1104554,CO
Safeway,Q00450,Longmont,"Longmont, CO","1632 Hover St, Longmont, CO",40.1880332,-105.1293675,CO
King Soopers,Q00428,Louisville,"Louisville, CO","1375 E South Boulder Rd, Louisville, CO",39.988326,-105.1242509,CO
Safeway,Q00644,Louisville,"Louisville, CO","1601 Coalton Rd, Louisville, CO",39.9301989,-105.1489565,CO
Safeway,Q01170,Monument,"Monument, CO","624 W Hwy 105, Monument, CO",39.0981174,-104.8657874,CO
King Soopers,Q00747,Northglenn,"Northglenn, CO","750 E 104th Ave, Northglenn, CO",39.883797,-104.9759907,CO
Safeway,Q01158,Northglenn,"Northglenn, CO","500 E 120th Ave, Northglenn, CO",39.9122222,-104.9806882,CO
King Soopers,Q00105,Parker,"Parker, CO","17761 Cottonwood Dr, Parker, CO",39.5600248,-104.7827124,CO
King Soopers,Q00109,Parker,"Parker, CO","17031 Lincoln Ave, Parker, CO",39.5357504,-104.7922062,CO
Safeway,Q01105,Parker,"Parker, CO","11051 S Parker Rd, Parker, CO",39.5160562,-104.7665878,CO
King Soopers,Q01171,Parker,"Parker, CO","12959 S Parker Rd, Parker, CO",39.4798136,-104.7607222,CO
King Soopers,Q00440,Thornton,"Thornton, CO","3801 E 120th Ave, Thornton, CO",39.914814,-104.9434923,CO
Safeway,Q00647,Thornton,"Thornton, CO","771 Thornton Pkwy, Thornton, CO",39.8724663,-104.9759434,CO
Safeway,Q00664,Thornton,"Thornton, CO","3840 E 104th Ave, Thornton, CO",39.8832921,-104.9425807,CO
King Soopers,Q00271,Westminster,"Westminster, CO","10351 Federal Blvd, Westminster, CO",39.8833858,-105.0277978,CO
King Soopers,Q00281,Westminster,"Westminster, CO","9983 Wadsworth Pkwy, Westminster, CO",39.8763553,-105.0977733,CO
King Soopers,Q00289,Wheat Ridge,"Wheat Ridge, CO","3400 Youngfield St, Wheat Ridge, CO",39.7648389,-105.1412,CO
King Soopers,Q00444,Wheat Ridge,"Wheat Ridge, CO","5301 W 38th Ave, Wheat Ridge, CO",39.7694428,-105.054617,CO
Safeway,Q00638,Wheat Ridge,"Wheat Ridge, CO","3900 Wadsworth Blvd, Wheat Ridge, CO",39.7710918,-105.0795795,CO
Safeway,Q01483,Woodland Park,"Woodland Park, CO","1101 E US-24, Woodland Park, CO",38.9825699,-105.0467917,CO
Safeway,Q01036,Alameda,"Alameda, CA","2227 S Shore Center, Alameda, CA",37.7572009,-122.2506543,CA
Safeway,Q01268,Alameda,"Alameda, CA","2600 5th St, Alameda, CA",37.7854764,-122.2805096,CA
Safeway,Q01528,American Canyon,"American Canyon, CA","103 American Canyon Rd, American Canyon, CA",38.16463359999999,-122.2550716,CA
Food 4 Less,Q00330,Anaheim,"Anaheim, CA","1616 W Katella Ave, Anaheim, CA",33.8019412,-117.9378978,CA
Albertsons,Q00491,Anaheim,"Anaheim, CA","810 S State College Blvd, Anaheim, CA",33.831224,-117.8885341,CA
Vons,Q00695,Anaheim,"Anaheim, CA","5600 E Santa Ana Canyon Rd, Anaheim, CA",33.8503336,-117.7919409,CA
Safeway,Q01333,Aptos,"Aptos, CA","16 Rancho del Mar, Aptos, CA",36.978599,-121.9084639,CA
Albertsons,Q00467,Arcadia,"Arcadia, CA","298 Live Oak Ave, Arcadia, CA",34.1076797,-118.0230103,CA
Vons,Q00715,Arcadia,"Arcadia, CA","745 W Naomi Ave, Arcadia, CA",34.1250289,-118.0576669,CA
Safeway,Q00918,Auburn,"Auburn, CA","2550 Bell Rd, Auburn, CA",38.9440043,-121.0937879,CA
Food 4 Less,Q00711,Bell Gardens,"Bell Gardens, CA","6901 Eastern Ave, Bell Gardens, CA",33.9706927,-118.1661175,CA
Safeway,Q01083,Belmont,"Belmont, CA","1100 El Camino Real, Belmont, CA",37.5186137,-122.2757614,CA
Safeway,Q01274,Benicia,"Benicia, CA","50 Solano Square, Benicia, CA",38.0548033,-122.1557116,CA
Safeway,Q01020,Berkeley,"Berkeley, CA","1444 Shattuck Pl, Berkeley, CA",37.8808169,-122.2701069,CA
WinCo Foods,Q00597,Brentwood,"Brentwood, CA","6700 Lone Tree Wy, Brentwood, CA",37.9647745,-121.7292674,CA
Vons,Q00314,Burbank,"Burbank, CA","301 N Pass Ave, Burbank, CA",34.1551624,-118.3465601,CA
Albertsons,Q00523,Calabasas,"Calabasas, CA","26521 Agoura Rd, Calabasas, CA",34.1449974,-118.6997116,CA
Vons,Q01242,Camarillo,"Camarillo, CA","940 Arneill RD, Camarillo, CA",34.2261528,-119.0375377,CA
Safeway,Q00974,Cameron Park,"Cameron Park, CA","3380 Coach Ln, Cameron Park, CA",38.6563828,-120.9709612,CA
Safeway,Q00971,Campbell,"Campbell, CA","2341 S Winchester Blvd, Campbell, CA",37.2799528,-121.9510897,CA
Safeway,Q01539,Campbell,"Campbell, CA","950 W Hamilton Ave, Campbell, CA",37.2928872,-121.966685,CA
Vons,Q00875,Carlsbad,"Carlsbad, CA","2560 El Camino Real, Carlsbad, CA",33.1787268,-117.3246597,CA
Vons,Q01024,Carlsbad,"Carlsbad, CA","6951 El Camino Real, Carlsbad, CA",33.1034861,-117.268622,CA
Safeway,Q00989,Carmichael,"Carmichael, CA","4040 Manzanita Ave, Carmichael, CA",38.6381405,-121.3261849,CA
Albertsons,Q00722,Carson,"Carson, CA","200 E Sepulveda Blvd, Carson, CA",33.8063827,-118.2725788,CA
Safeway,Q01102,Castro Valley,"Castro Valley, CA","4015 E Castro Valley Blvd, Castro Valley, CA",37.6947386,-122.0504513,CA
Albertsons,Q00509,Chino,"Chino, CA","12013 Central Ave, Chino, CA",34.0348085,-117.6883222,CA
Albertsons,Q00519,Chino Hills,"Chino Hills, CA","15970 Los Serranos Country Club Dr, Chino Hills, CA",33.9614709,-117.6955129,CA
Albertsons,Q01243,Chino Hills,"Chino Hills, CA","3255 Grand Ave, Chino Hills, CA",34.0016731,-117.7342238,CA
Vons,Q00331,Chula Vista,"Chula Vista, CA","1745 Eastlake Pkwy, Chula Vista, CA",32.61984,-116.961152,CA
Vons,Q01032,Chula Vista,"Chula Vista, CA","2250 Otay Lakes Rd, Chula Vista, CA",32.6457363,-116.9662935,CA
Safeway,Q00941,Citrus Heights,"Citrus Heights, CA","7301 Greenback Ln, Citrus Heights, CA",38.6798119,-121.2943754,CA
Food 4 Less,Q00409,Compton,"Compton, CA","1900 W Rosecrans Ave, Compton, CA",33.9024858,-118.2526065,CA
Safeway,Q00970,Concord,"Concord, CA","2600 Willow Pass Rd, Concord, CA",37.9781161,-122.0281611,CA
Safeway,Q01279,Concord,"Concord, CA","4309 Clayton Rd, Concord, CA",37.9661551,-121.9907644,CA
Albertsons,Q00388,Corona,"Corona, CA","260 W Foothill Pkwy, Corona, CA",33.8436448,-117.5742681,CA
Vons,Q00508,Corona,"Corona, CA","535 N McKinley St, Corona, CA",33.8913722,-117.5201397,CA
Vons,Q00511,Corona,"Corona, CA","11800 De Palma Rd, Corona, CA",33.7473282,-117.4530693,CA
Safeway,Q01512,Corte Madera,"Corte Madera, CA","137 Corte Madera Town Center, Corte Madera, CA",37.9279695,-122.5177114,CA
Pavilions,Q00517,Culver City,"Culver City, CA","11030 Jefferson Blvd, Culver City, CA",33.9967446,-118.3937633,CA
Safeway,Q01486,Cupertino,"Cupertino, CA","20620 W Homestead Rd, Cupertino, CA",37.3361552,-122.0345557,CA
Safeway,Q01516,Daly City,"Daly City, CA","601 Westlake Center, Daly City, CA",37.6995007,-122.4815738,CA
Safeway,Q01151,Danville,"Danville, CA","3496 Camino Tassajara, Danville, CA",37.7980454,-121.9176662,CA
Safeway,Q01320,Dixon,"Dixon, CA","1235 Stratford Ave, Dixon, CA",38.45689000000001,-121.8389139,CA
Food 4 Less,Q00311,Downey,"Downey, CA","13525 Lakewood Blvd, Downey, CA",33.9052371,-118.1444952,CA
Ralphs,Q00739,Downey,"Downey, CA","8626 Firestone Blvd, Downey, CA",33.9359952,-118.1271349,CA
Safeway,Q00928,Dublin,"Dublin, CA","7499 Dublin Blvd, Dublin, CA",37.7061604,-121.9274556,CA
Safeway,Q00930,Dublin,"Dublin, CA","4440 Tassajara Rd, Dublin, CA",37.7066995,-121.8741391,CA
Albertsons,Q00655,Eastvale,"Eastvale, CA","7070 Archibald Ave, Eastvale, CA",33.9598294,-117.5918373,CA
Vons,Q01167,Eastvale,"Eastvale, CA","6170 Hamner Ave, Eastvale, CA",33.9765663,-117.5577219,CA
Albertsons,Q00474,El Cajon,"El Cajon, CA","1608 Broadway, El Cajon, CA",32.8086789,-116.9201467,CA
Vons,Q00886,El Cajon,"El Cajon, CA","1201 Avocado Ave, El Cajon, CA",32.7788563,-116.9564046,CA
Albertsons,Q01247,El Cajon,"El Cajon, CA","2899 Jamacha Rd, El Cajon, CA",32.7393019,-116.9375562,CA
Safeway,Q01018,El Cerrito,"El Cerrito, CA","11450 San Pablo Ave, El Cerrito, CA",37.92268170000001,-122.3160379,CA
Safeway,Q00938,El Dorado Hills,"El Dorado Hills, CA","2207 Francisco Dr, El Dorado Hills, CA",38.7113892,-121.0838482,CA
Safeway,Q00977,El Dorado Hills,"El Dorado Hills, CA","3383 Bass Lake Rd, El Dorado Hills, CA",38.6751377,-121.0283194,CA
Safeway,Q00931,Elk Grove,"Elk Grove, CA","5021 Laguna Blvd, Elk Grove, CA",38.4242462,-121.4465999,CA
WinCo Foods,Q01530,Elk Grove,"Elk Grove, CA","8124 Sheldon Rd, Elk Grove, CA",38.4379855,-121.4074329,CA
Pak N Save,Q01060,Emeryville,"Emeryville, CA","3889 San Pablo Ave, Emeryville, CA",37.8292821,-122.2800984,CA
Albertsons,Q00890,Escondido,"Escondido, CA","1570 W Valley Pkwy, Escondido, CA",33.1087309,-117.1057928,CA
Vons,Q00892,Escondido,"Escondido, CA","1000 W El Norte Pkwy, Escondido, CA",33.1485783,-117.1067548,CA
Vons,Q01030,Escondido,"Escondido, CA","351 W Felicita Ave, Escondido, CA",33.1031634,-117.0732483,CA
Food 4 Less,Q01250,Escondido,"Escondido, CA","644 N Broadway, Escondido, CA",33.128628,-117.0833577,CA
Safeway,Q00943,Fair Oaks,"Fair Oaks, CA","5450 Dewey Dr, Fair Oaks, CA",38.6652393,-121.3072479,CA
Safeway,Q01334,Fairfield,"Fairfield, CA","2401 Waterman Blvd, Fairfield, CA",38.2719174,-122.054023,CA
